,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_base_estimator__criterion,param_base_estimator__max_depth,param_base_estimator__max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
21,53.15201369921366,0.1093731022146249,8.146164019902548,0.03862855880162435,SAMME.R,entropy,1,auto,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 1, 'base_estimator__max_features': 'auto', 'n_estimators': 500}",0.7484232854466295,0.7456514881676538,0.7521232205691999,0.7487326537020242,0.002651112336630506,1,0.7650901066214837,0.7666066669234828,0.7646901777084232,0.7654623170844633,0.0008254849885263485
1,53.30419158935547,0.3640065390430326,8.394566694895426,0.2029341785909695,SAMME.R,gini,1,auto,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'base_estimator__max_features': 'auto', 'n_estimators': 500}",0.7486873640961905,0.7457296521853187,0.7505669324016684,0.7483279756135165,0.0019910936684479847,2,0.7651018749547025,0.7665292107392028,0.7641665654850807,0.7652658837263285,0.0009714927713178205
23,43.227454662323,0.020688687259507392,8.173357168833414,0.05323630445867988,SAMME.R,entropy,1,log2,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 1, 'base_estimator__max_features': 'log2', 'n_estimators': 500}",0.7456112044838763,0.7413511719007871,0.7483421416485848,0.7451014954728072,0.002876716652038794,3,0.7613100121872224,0.7616574846895845,0.7608131472729274,0.761260214716578,0.0003464931546738308
3,43.426763455073036,0.1307506283843233,8.21918527285258,0.015288721409782425,SAMME.R,gini,1,log2,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'base_estimator__max_features': 'log2', 'n_estimators': 500}",0.7444706238728888,0.7416247228781435,0.7466193921614822,0.7442382385608848,0.0020456739018791005,4,0.7606546748938232,0.761796314150341,0.760440444326044,0.7609638111234028,0.0005951300426174606
20,11.199354569117228,0.022861485004740698,1.7230199178059895,0.003985816956091024,SAMME.R,entropy,1,auto,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 1, 'base_estimator__max_features': 'auto', 'n_estimators': 100}",0.740590424452559,0.7381503170315398,0.7418751419549702,0.7402052890494856,0.0015448456318520314,5,0.7463145062284878,0.7476216070317081,0.7464423161239353,0.7467928097947105,0.0005883663753052906
0,11.293234586715698,0.1396321909182178,1.7507456143697102,0.01118625304745986,SAMME.R,gini,1,auto,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'base_estimator__max_features': 'auto', 'n_estimators': 100}",0.7398140173971626,0.7382287093289699,0.7410697219971819,0.7397041451337112,0.0011624367922996503,6,0.7466696870612475,0.7477473220389076,0.7461165732424245,0.7468445274475265,0.000677132325725381
24,15.84265367190043,0.06070849815867647,1.7621161937713623,0.004660028649730259,SAMME.R,entropy,2,auto,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 2, 'base_estimator__max_features': 'auto', 'n_estimators': 100}",0.7361834015025233,0.7338870064536165,0.7382210546201043,0.7360971472853352,0.0017704172034605982,7,0.7572191686702571,0.7588576430370688,0.7570271954942704,0.7577013357338654,0.0008213802853147837
4,15.742992639541626,0.021084987969046943,1.7705820401509602,0.002501666678335306,SAMME.R,gini,2,auto,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 2, 'base_estimator__max_features': 'auto', 'n_estimators': 100}",0.7360776784742986,0.7324895399293853,0.73929558400932,0.7359542566053199,0.0027799238537245005,8,0.7553352674054346,0.7579888118916178,0.75748281994379,0.7569356330802807,0.0011503288465293075
26,28.243785858154297,4.500313424827369,4.923887014389038,0.3909190956310402,SAMME.R,entropy,2,log2,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 2, 'base_estimator__max_features': 'log2', 'n_estimators': 100}",0.7350646062194887,0.7317834321407458,0.7386313136216366,0.7351597727048336,0.0027964434150275896,9,0.7522406528117748,0.7525234530248648,0.750340336595308,0.7517014808106492,0.000969374083742894
22,9.275491078694662,0.014686486396025145,1.7325982252756755,0.007945123502257734,SAMME.R,entropy,1,log2,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 1, 'base_estimator__max_features': 'log2', 'n_estimators': 100}",0.7349937279172591,0.73154511640168,0.7373410370449409,0.7346266182942598,0.002380369434910196,10,0.7415419241781087,0.742327016923748,0.7402888213547001,0.7413859208188521,0.0008393700338135079
6,11.621498664220175,0.006464040683608451,1.7699329853057861,0.0025184623270361885,SAMME.R,gini,2,log2,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 2, 'base_estimator__max_features': 'log2', 'n_estimators': 100}",0.7340385713931661,0.7315310226911049,0.7376870025484243,0.7344188549165241,0.0025275111333759224,11,0.753367383108237,0.7529773724336967,0.7517751250977924,0.7527066268799087,0.0006776423634574077
2,9.285726149876913,0.028919628279380688,1.738209883371989,0.001717934457311687,SAMME.R,gini,1,log2,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'base_estimator__max_features': 'log2', 'n_estimators': 100}",0.7347672134725843,0.7316308566143693,0.7364909994617413,0.7342963493794368,0.0020118851987078606,12,0.7412786663556018,0.7423981253258394,0.740786539855547,0.741487777178996,0.0006743379144809871
5,74.84991391499837,0.027185118484718745,8.523698329925537,0.2146339358041599,SAMME.R,gini,2,auto,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 2, 'base_estimator__max_features': 'auto', 'n_estimators': 500}",0.7341262276169205,0.7299584687929538,0.73745887682342,0.7338478460017,0.003068346983235475,13,0.7925922441506086,0.7935542625084069,0.7932399250152269,0.7931288105580808,0.0004005243622431219
27,146.2148654460907,5.7855852996795,23.36141832669576,1.501958600445714,SAMME.R,entropy,2,log2,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 2, 'base_estimator__max_features': 'log2', 'n_estimators': 500}",0.7333255491643278,0.7306355542720875,0.7371418826380752,0.7337009841686865,0.002669428664359231,14,0.7852390904176543,0.7866093200485988,0.7845420010561788,0.7854634705074773,0.000858763363850186
25,77.81128772099812,2.615922095969773,9.750340143839518,1.7087064821503744,SAMME.R,entropy,2,auto,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 2, 'base_estimator__max_features': 'auto', 'n_estimators': 500}",0.7306028410122168,0.73148793039673,0.7366687011141069,0.7329198119833177,0.002675365507285034,15,0.7952184914260054,0.7937644743404888,0.7931432966272082,0.7940420874645674,0.000869639828984517
7,55.21946795781454,0.657322386291462,8.37540872891744,0.0371094170679462,SAMME.R,gini,2,log2,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 2, 'base_estimator__max_features': 'log2', 'n_estimators': 500}",0.731719045704655,0.7315835539690396,0.7342450970949552,0.7325158932996758,0.0012239762970131032,16,0.7854220095276208,0.7867247603278185,0.7834192285112194,0.7851886661222195,0.0013595273703927184
30,39.42207431793213,4.136339165115988,4.994603792826335,0.97961323161832,SAMME.R,entropy,3,log2,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 3, 'base_estimator__max_features': 'log2', 'n_estimators': 100}",0.7306221370647499,0.7270871812928323,0.7320178991190232,0.7299090656344744,0.002075144926082997,17,0.7668670130413684,0.7688883740810869,0.7652205572084642,0.7669919814436398,0.0014999851063591094
8,20.298414707183838,0.10377057621931722,1.819153626759847,0.016983767495629555,SAMME.R,gini,3,auto,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 3, 'base_estimator__max_features': 'auto', 'n_estimators': 100}",0.7267506148404482,0.7279682193527441,0.7349802850115943,0.7298996898799797,0.0036267329372065902,18,0.7745041338815348,0.7776675323870028,0.7749315364295871,0.7757010675660415,0.0014014055215102082
28,50.858317375183105,0.7009592270261656,5.017568985621135,0.09464879138524879,SAMME.R,entropy,3,auto,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 3, 'base_estimator__max_features': 'auto', 'n_estimators': 100}",0.727035010389134,0.7258345281417172,0.732529714197113,0.728466404362488,0.002914679500232804,19,0.7735262398963425,0.7764795379849525,0.7738339342937093,0.7746132373916681,0.00132563881177165
10,13.940255006154379,0.03264845875139974,1.7862860361735027,0.004219347949338731,SAMME.R,gini,3,log2,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 3, 'base_estimator__max_features': 'log2', 'n_estimators': 100}",0.7269784226567154,0.7269538748871065,0.7287394321698595,0.7275572393935145,0.0008359925212087798,20,0.7657819265494095,0.7680956546026743,0.7652159096953463,0.7663644969491433,0.0012457324179787977
32,59.91867605845133,1.5453748635004816,4.695424715677897,0.23603002343237417,SAMME.R,entropy,4,auto,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 4, 'base_estimator__max_features': 'auto', 'n_estimators': 100}",0.7168063686463642,0.7183009265304979,0.7180065065553539,0.7177045995956324,0.0006464197942243599,21,0.7960102192287704,0.7962158086916924,0.7936721339563618,0.7952993872922748,0.0011536989270013833
14,16.154716968536377,0.09127235749651061,1.8103697299957275,0.006417298057671743,SAMME.R,gini,4,log2,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 4, 'base_estimator__max_features': 'log2', 'n_estimators': 100}",0.7136098171071894,0.7159756996189683,0.7189976770363637,0.7161943888048118,0.002205011828977573,22,0.7858117867912746,0.7871614618363503,0.787476096912327,0.7868164485133172,0.0007219222901679699
34,42.61826864878336,4.284805842664076,5.102552731831868,0.28131488816245515,SAMME.R,entropy,4,log2,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 4, 'base_estimator__max_features': 'log2', 'n_estimators': 100}",0.7146696687593274,0.7158270805143695,0.717842640983809,0.7161131244616108,0.0013110556169203388,23,0.785513474533133,0.7868873621102346,0.7850437247126856,0.7858148537853511,0.0007822496633262047
12,24.779536724090576,0.08956875767155907,1.824233055114746,0.011639627610355965,SAMME.R,gini,4,auto,100,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 4, 'base_estimator__max_features': 'auto', 'n_estimators': 100}",0.7177074889132822,0.7110279665476523,0.7189699420329966,0.7159017891873002,0.003484646664681017,24,0.7983241358062128,0.8024860654422246,0.7941154888494152,0.7983085633659508,0.003417291324981804
31,172.40170288085938,2.802703613924872,24.517915725708008,0.937728068062513,SAMME.R,entropy,3,log2,500,"{'algorithm': 'SAMME.R', 'base_estimator__criterion': 'entropy', 'base_estimator__max_depth': 3, 'base_estimator__max_features': 'log2', 'n_estimators': 500}",0.7162179788334,0.7131360083468317,0.715822679630188,0.7150588864530233,0.001369227029332031,25,0.8232666962886884,0.8253903874824307,0.8226914408778332,0.8237828415496508,0.0011607131834716815
